2018-12-14 07:46:07.026861 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:46:08.030911 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:46:09.035024 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:46:10.038558 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:11.044389 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:46:12.549360 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:46:13.565451 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:14.557588 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:15.561871 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:16.565836 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:17.570589 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:18.574006 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:20.080149 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:21.089913 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:22.088283 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:46:23.093112 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:46:24.096477 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:46:25.100685 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:26.106429 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:27.610857 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:46:28.614903 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:29.631204 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:30.623106 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:31.627258 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:32.631340 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:33.635483 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:35.141581 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:46:36.145919 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:46:37.150648 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:46:38.153890 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:46:39.157983 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:46:40.162099 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:46:41.166156 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:46:42.672500 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:46:43.689120 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:44.680437 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:45.685008 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:46:46.688693 HST-1000 | $RXPNS,B,0,G,8875*70
